"id","book_title","book_author","book_publisher","book_publishDate","book_description","book_totalPages","book_category","book_thumbnail","book_image","book_language","book_preview","book_info","book_subtitle","book_averageRating","book_ratingCount"
"QBNCzQEACAAJ","Pocket Word Search","Sudoku Kingdom","","1/15/20","Pocket Word Search Books For AdultsPacked with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features an artistic watercolour landscape cover and provides hours of entertainment. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great Christmas word search gift. Who knows, you may even be the word search solver of the house this festive season! It also makes a perfect gift for seniors any time of the year. Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white Buy our hand-designed pocket word search puzzles today and have Amazon deliver it to your house or office in a heartbeat. And don't forget to visit our Author Page for even more of our pocket word search books, travel size word search books and puzzles for adults.",100,"","http://books.google.com/books/content?id=QBNCzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=QBNCzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=QBNCzQEACAAJ&dq=search+terms&hl=&cd=161&source=gbs_api","http://books.google.com/books?id=QBNCzQEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Search Puzzles - Pocket Word Jumble - Travel Size Wordsearches - Mini Word Puzzle - Word Seek - Fun Christmas Gift - Word Search Books for Adults - Watercolor Landscapes",NA,0
"I2NStAEACAAJ","Baylor Bears Trivia Crossword Word Search Activity Puzzle Book","Mega Media Depot","Createspace Independent Publishing Platform","3/10/17","WITH THIS TRIVIA CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOK, YOU CAN MAKE YOUR Baylor Bears LOVER LIGHT UP WITH DELIGHT! This edition covers the Baylor Bears Greatest Basketball Players. This combination book will keep your trivia, crossword and word search fans busy for years. Our Fill In crossword puzzles (also known as Fill-It-Ins or Word Fills) are different from the traditional crossword puzzle in that we supply you with the words, instead of clues and you need to complete the grid. We call these Mosaic Crosswords! Everybody loves a word search puzzle! Our word search puzzles are challenging for both adults and children hiding the words both front and backwards as well as diagonal. Our Trivia Fun Facts sheet lists the Baylor Bears Greatest Players. These player are in order as voted on by you the fans! Ever wonder if your favorite player is on the all-time greatest Baylor Bears list? Wonder no more as we have the answers for you! We are sure you'll see at least a few surprises! If you're looking for a gift, for any occasion, that your Baylor Bears Lovers will actually use and enjoy for years to come, then check out the Baylor Bears Trivia Crossword Word Search activity puzzle book! Customized Trivia Crossword Word Search activity puzzle books speak to their recipients on a more personal level, making them feel special. Plus, Trivia Crossword Word Search activity puzzle books are universally functional gifts, for both kids and adults. It is proven that Trivia Crossword Word Search puzzles are a great way to reduce stress and increase self-esteem all while keeping your small motor skills active. This new Trivia Crossword Word Search activity puzzle book will delight both existing fans and new puzzle enthusiasts as they discover this timeless and unique collection of entertainment. These puzzles are designed to keep you challenged and engaged, so sharpen your pencils and get ready! The Journal of the American Medical Association (JAMA) finds that cognitive puzzles such as Trivia Crossword Word Search puzzles ""can bolster the mind in the same way that physical exercise protects and strengthens the body."" This edition contains the Baylor Bears Greatest Players! This Unofficial Baylor Bears Edition is no way affiliated with the Baylor Bears . It is created by Baylor Bears fans for Baylor Bears fans. THE ONLY AUTHORIZED SELLER OF THIS Baylor Bears TRIVIA CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOK IS MEGA MEDIA DEPOT. MEGA MEDIA DEPOT DELIVERS THE HIGHEST QUALITY Baylor Bears TRIVIA CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOKS. Our Trivia Crossword Word Search activity puzzle books are printed and shipped in the United States. MEGA MEDIA DEPOT TRIVIA CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOKS ARE 8 1/2 by 11 MAKING PUZZLE SOLVING EASY. REST ASSURED WITH OUR MONEY-BACK GUARANTEE. All Mega Media Depot products come with a 100% Customer Satisfaction Guarantee. IT'S BOUND TO BECOME A FAVORITE Baylor Bears GIFT. So what are you waiting for? Click the Add-to-cart button and get your Baylor Bears Trivia Crossword Word Search Activity Puzzle Book while supplies last.",112,"","http://books.google.com/books/content?id=I2NStAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=I2NStAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=I2NStAEACAAJ&dq=search+terms&hl=&cd=162&source=gbs_api","http://books.google.com/books?id=I2NStAEACAAJ&dq=search+terms&hl=&source=gbs_api","Greatest Basketball Players Edition",NA,0
"G_Z2zQEACAAJ","Circle It, Air Force Facts, Word Search, Puzzle Book","Lowry Global Media Llc, Maria Schumacher","","3/29/20","Lowry Global Media will donate $6 to the Texas Disabled Veterans Association (TDVA) for every copy sold of Army Facts, Air Force Facts, Marine Facts, and Navy Facts Word Search Puzzle books so that the TDVA can continue and expand their mission of helping our Veterans and their families. The TDVA works as an advocate for individuals who have risked it all, and at times sustained physical, mental or emotional injuries, protecting our families and our freedoms. My buddy, Lt. Daniel Costillo (Army), is a combat wounded quadriplegic (30+ years ago) and one of the founders of the TDVA. Despite Dan's personal challenges, he works tirelessly to help his fellow Veterans. Please help me help Dan help those, like him, who need an advocate. Thank you, Mark Schumacher (Air Force Veteran) President, Lowry Global Media ---------- ""Circle It"" word search books read like a book and are full of interesting facts, the bold words within the text can be found in the word search puzzle on the opposite page. UPGRADE your word search and be the one everyone wants to talk with; your friends will wonder, how did you get so smart? Everyone will really enjoy your conversation when you say, ""The other day I was reading and did you know that...."" Typical word searches are just dull lists of words, ""Circle It"" word search books read like a book and are full of interesting facts. Each ""Circle It"" word search book has an interesting subject, like: * Muscle Car Facts * Quilting Facts * Lake Fish Facts * Dog Facts * Cat Facts * Hockey Facts * ...many many more (200+ titles) Lowry Global Media, Circle It Word Search Books are all available from your favorite online bookseller. Just search for ""Lowry Global Media"" to see all of our word search titles. Looking for a gift? Our books are great for anyone ages 12 to 99.",102,"Games & Activities","http://books.google.com/books/content?id=G_Z2zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=G_Z2zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=G_Z2zQEACAAJ&dq=search+terms&hl=&cd=163&source=gbs_api","http://books.google.com/books?id=G_Z2zQEACAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"yi1YyAEACAAJ","The Supreme Word Search Book for Adults - Large Print Edition","Word Search Puzzle Group","","2019-08","OVER 200 PUZZLES IN LARGE PRINT!! Recent studies have shown that playing mentally demanding games decreases the risk of degenerative brain diseases such as Alzheimer's. Come have fun AND sharpen your mind at the same time! Already featured on multiple websites, the Supreme Word Search Book - Large Print Edition is already gaining a reputation for being not only challenging but fun and stimulating! With 200+ puzzles over the most interesting topics, this book will allow you to get lost in the test that is word search. What a great way to increase your vocabulary and activate your mind! We love our puzzles and we know you will too! Get one for yourself, or as a gift! Enjoy!",204,"Games & Activities","http://books.google.com/books/content?id=yi1YyAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=yi1YyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=yi1YyAEACAAJ&dq=search+terms&hl=&cd=164&source=gbs_api","http://books.google.com/books?id=yi1YyAEACAAJ&dq=search+terms&hl=&source=gbs_api","Over 200 Cleverly Hidden Word Searches for Adults, Teens, and More!",NA,0
"h1mbzQEACAAJ","Youth Word Search Book","Somchong K Gradedee","","5/12/20","✔Enjoy the timeless pleasure of Word Searching with these challenging puzzles the Word Search Book is already gaining a reputation for being not only challenging but fun and stimulating! ①With Word Search Puzzles over the most interesting topics, this book will allow you to get lost in the test that is Word Search. What a great way to increase your vocabulary and activate your mind! ②Game Word Search from recent studies have shown that playing mentally demanding games decreases the risk of degenerative brain diseases such as alzheimer's. ③However, Puzzle Words can run forward, backward, or diagonally. Many Words Share common letters and criss-cross each other for greater variety.",94,"","http://books.google.com/books/content?id=h1mbzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=h1mbzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=h1mbzQEACAAJ&dq=search+terms&hl=&cd=165&source=gbs_api","http://books.google.com/books?id=h1mbzQEACAAJ&dq=search+terms&hl=&source=gbs_api","Amazing Word Search Puzzles, Peak Brain Training, Extreme Word Search, Wordsearch Hidden Message Word Find Books, Brain Games Extreme Word Search",NA,0
"wg1U753HIoUC","Special Edition Using StarOffice 6.0","Michael Koch","Que Publishing","2002","StarOffice is a full-featured, fully integrated suite of office productivity tools with a strong international following. This volume, which comes with a word processor (StarOffice Writer), spreadsheet application, and drawing and presentation program, addresses the formula editor and a third-party database module that is installed with the software.",1182,"Integrated software","http://books.google.com/books/content?id=wg1U753HIoUC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=wg1U753HIoUC&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=wg1U753HIoUC&q=search+terms&dq=search+terms&hl=&cd=166&source=gbs_api","http://books.google.com/books?id=wg1U753HIoUC&dq=search+terms&hl=&source=gbs_api","",NA,0
"3WgvzQEACAAJ","Pocket Word Search","Pocket Puzzles","","1/6/20","Pocket Word Search Books For AdultsPacked with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features a tropical palm tree cover and provides hours of entertainment. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great Christmas word search gift. Who knows, you may even be the word search solver of the house this festive season! It also makes a perfect gift for seniors any time of the year. Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white Buy our hand-designed pocket word search puzzles today and have Amazon deliver it to your house or office in a heartbeat. And don't forget to visit our Author Page for even more of our pocket word search books, travel size word search books and puzzles for adults.",100,"","http://books.google.com/books/content?id=3WgvzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=3WgvzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=3WgvzQEACAAJ&dq=search+terms&hl=&cd=167&source=gbs_api","http://books.google.com/books?id=3WgvzQEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Search Puzzles - Pocket Word Jumble - Travel Size Wordsearches - Mini Word Puzzle - Word Seek - Fun Christmas Gift - Word Search Books for Adults - Tropical Leaves",NA,0
"aaOoywEACAAJ","Pocket Word Search","Pocket Wordsearches","","10/6/19","Pocket Word Search Books For Adults Like to flex your mental muscles on the go with a challenging word search, but don't want to carry around a big book? Then our range of travel size word search books for adults and pocket word puzzles are ideal for you! Packed with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features a cute penguin pattern cover and provides hours of entertainment.The pocket word jumbles inside are both challenging and addictive and you won't be able to put this pocket word puzzle down! Visit our Author Page for even more of our pocket word search books and travel size word search books. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great gift! Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages; a perfect gift for seniors 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white",100,"","http://books.google.com/books/content?id=aaOoywEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=aaOoywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=aaOoywEACAAJ&dq=search+terms&hl=&cd=168&source=gbs_api","http://books.google.com/books?id=aaOoywEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Finds Large Print - Pocket Word Jumble - Travel Size Word Search Book For Adults - Mini Word Puzzle - Word Seek - Pocket Wordsearches - Fun Christmas Gift - Penguins",NA,0
"GGwwzQEACAAJ","Pocket Word Search","Pocket Puzzles","","12/24/19","Pocket Word Search Books For AdultsPacked with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features a traditional Japan inspired cover and provides hours of entertainment. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great Christmas word search gift. Who knows, you may even be the word search solver of the house this festive season! It also makes a perfect gift for seniors any time of the year. Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white Buy our hand-designed pocket word search puzzles today and have Amazon deliver it to your house or office in a heartbeat. And don't forget to visit our Author Page for even more of our pocket word search books, travel size word search books and puzzles for adults.",100,"","http://books.google.com/books/content?id=GGwwzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=GGwwzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=GGwwzQEACAAJ&dq=search+terms&hl=&cd=169&source=gbs_api","http://books.google.com/books?id=GGwwzQEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Search Puzzles - Pocket Word Jumble - Travel Size Wordsearches - Mini Word Puzzle - Word Seek - Fun Christmas Gift - Word Search Books for Adults - Japanese Art",NA,0
"7ckvzQEACAAJ","Pocket Word Search","Mini Wordsearches","","12/28/19","Pocket Word Search Books For AdultsPacked with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features an eastern oriental cover and provides hours of entertainment. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great Christmas word search gift. Who knows, you may even be the word search solver of the house this festive season! It also makes a perfect gift for seniors any time of the year. Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white Buy our hand-designed pocket word search puzzles today and have Amazon deliver it to your house or office in a heartbeat. And don't forget to visit our Author Page for even more of our pocket word search books, travel size word search books and puzzles for adults.",100,"","http://books.google.com/books/content?id=7ckvzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=7ckvzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=7ckvzQEACAAJ&dq=search+terms&hl=&cd=170&source=gbs_api","http://books.google.com/books?id=7ckvzQEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Search Puzzles - Pocket Word Jumble - Travel Size Wordsearches - Mini Word Puzzle - Word Seek - Fun Christmas Gift - Word Search Books for Adults - Oriental Patterns",NA,0
"iYmfAAAAMAAJ","Research Methods for Studying Legal Issues in Education","Steve Permuth","","2006","",210,"Educational law and legislation","http://books.google.com/books/content?id=iYmfAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=iYmfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=iYmfAAAAMAAJ&q=search+terms&dq=search+terms&hl=&cd=171&source=gbs_api","http://books.google.com/books?id=iYmfAAAAMAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"kpGxDgAAQBAJ","The Everything Word Search Book","Charles Timmerman","Simon and Schuster","11/15/05","With more than 250 puzzles, 100-plus more than our competition, The Everything(r) Word Search Book provides hours of gaming fun! Searches are organized by amusing themes, including: Work Searches on the Job Global Word Searches Word Searches Alive! Word Searches for Big Bucks Decades of Word Searches to Search or Not to Search? The Everything(r) Word Search Book is sure to excite gamers of all abilities with humorous and challenging puzzles.",320,"Games & Activities","http://books.google.com/books/content?id=kpGxDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=kpGxDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.com/books?id=kpGxDgAAQBAJ&pg=PP1&dq=search+terms&hl=&cd=172&source=gbs_api","http://books.google.com/books?id=kpGxDgAAQBAJ&dq=search+terms&hl=&source=gbs_api","Over 250 Puzzles to Keep You Entertained for Hours!",NA,0
"_yS_swEACAAJ","Star Sudoku Crossword Word Search Activity Puzzle Book","Mega Depot","Createspace Independent Publishing Platform","1/13/18","WITH THIS SUDOKU CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOK, YOU CAN MAKE YOUR Star (TV Series) LOVER LIGHT UP WITH DELIGHT! This edition covers the Star (TV Series) TV Series Cast & Characters. This combination book will keep your Sudoku, crossword and word search fans busy for years. Our Fill In crossword puzzles (also known as Fill-It-Ins or Word Fills) are different from the traditional crossword puzzle in that we supply you with the words, instead of clues and you need to complete the grid. We call these Mosaic Crosswords! Everybody loves a word search puzzle! Our word search puzzles are challenging for both adults and children hiding the words both front and backwards as well as diagonal. Our Sudoku Puzzle over the best in Sudoku entertainment! If you're looking for a gift, for any occasion, that your Star (TV Series) Lovers will actually use and enjoy for years to come, then check out the Star (TV Series) Sudoku Crossword Word Search activity puzzle book! Customized Sudoku Crossword Word Search activity puzzle books speak to their recipients on a more personal level, making them feel special. Plus, Sudoku Crossword Word Search activity puzzle books are universally functional gifts, for both kids and adults. It is proven that Sudoku Crossword Word Search puzzles are a great way to reduce stress and increase self-esteem all while keeping your small motor skills active. This new Sudoku Crossword Word Search activity puzzle book will delight both existing fans and new puzzle enthusiasts as they discover this timeless and unique collection of entertainment. These puzzles are designed to keep you challenged and engaged, so sharpen your pencils and get ready! The Journal of the American Medical Association (JAMA) finds that cognitive puzzles such as Sudoku Crossword Word Search puzzles ""can bolster the mind in the same way that physical exercise protects and strengthens the body."" This edition contains the Star (TV Series )Cast & Characters! This Unofficial Star (TV Series)Edition is no way affiliated with the Star (TV Series). It is created by Star (TV Series) fans for Star (TV Series) fans. THE ONLY AUTHORIZED SELLER OF THIS Star (TV Series) Sudoku CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOK IS MEGA MEDIA DEPOT. MEGA MEDIA DEPOT DELIVERS THE HIGHEST QUALITY Star (TV Series) Sudoku CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOKS. Our Sudoku Crossword Word Search activity puzzle books are printed and shipped in the United States. MEGA MEDIA DEPOT Sudoku CROSSWORD WORD SEARCH ACTIVITY PUZZLE BOOKS ARE 8 1/2 by 11 MAKING PUZZLE SOLVING EASY. REST ASSURED WITH OUR MONEY-BACK GUARANTEE. All Mega Media Depot products come with a 100% Customer Satisfaction Guarantee. IT'S BOUND TO BECOME A FAVORITE Star (TV Series) GIFT. So what are you waiting for? Click the Add-to-cart button and get your Star (TV Series) Sudoku Crossword Word Search Activity Puzzle Book while supplies last.",118,"","http://books.google.com/books/content?id=_yS_swEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=_yS_swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=_yS_swEACAAJ&dq=search+terms&hl=&cd=173&source=gbs_api","http://books.google.com/books?id=_yS_swEACAAJ&dq=search+terms&hl=&source=gbs_api","TV Series Cast and Characters Edition",NA,0
"_zuyzQEACAAJ","Circle It, The Brady Bunch Facts, Word Search, Puzzle Book","Lowry Global Media Llc, Maria Schumacher","","8/2/20","",106,"Performing Arts","http://books.google.com/books/content?id=_zuyzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=_zuyzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=_zuyzQEACAAJ&dq=search+terms&hl=&cd=174&source=gbs_api","http://books.google.com/books?id=_zuyzQEACAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"7sBaAAAAYAAJ","WordPerfect 5.1 QuickStart","Kathie-Jo Arnoff, Que Corporation","Que Pub","1990","Introduces the features of the WordPerfect word processing program, demonstrates how to create, save, retrieve, and edit documents, and discusses formats, macros, and graphics",427,"Business & Economics","http://books.google.com/books/content?id=7sBaAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=7sBaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=7sBaAAAAYAAJ&q=search+terms&dq=search+terms&hl=&cd=175&source=gbs_api","http://books.google.com/books?id=7sBaAAAAYAAJ&dq=search+terms&hl=&source=gbs_api","",NA,0
"ZGCBvgAACAAJ","Wordsearch Game Book","Shirley Witt","Createspace Independent Publishing Platform","10/31/16","A word search should be challenging because it's smartly constructed-not because the letters are too small. Are you always in pursuit of hidden words? Well, open these pages and if you keep looking hard, words will never fail you. This text boasts an elegant design and handy format for a collection of wordsearch puzzles. Tag: adult word search, brain games word search, childrens word search, easy word search, extra large print word search, holiday word search, kids word search, large word search, simple word search, spiral word search, word search and puzzle books, word search books, word search books for adults, word search books for adults paperback, word search challenges word search collection, word search crossword puzzles",84,"","http://books.google.com/books/content?id=ZGCBvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=ZGCBvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=ZGCBvgAACAAJ&dq=search+terms&hl=&cd=176&source=gbs_api","http://books.google.com/books?id=ZGCBvgAACAAJ&dq=search+terms&hl=&source=gbs_api","Large Print Word Search Puzzles",NA,0
"HyU-zQEACAAJ","Sports Word Search","CreativePuzzlers","","1/22/20","Updated for 2020! An engaging and fun word search puzzle book for sports fans! Try to solve the 120 searches related to sports! Features: -Sports Theme: Features word searches from five different sports! The searches are individually themed and contain sports teams, terms, lingo, star players, past legends, and much more! 24 Hockey Searches 24 Basketball Searches 24 Football Searches 24 Soccer Searches 24 Baseball Searches -Large Size: 8.5x11"" dimensions for easy reading and solving! -Medium Challenge: The word searches are set at a medium difficulty so they can be played by any age group! The words are found in any direction but are limited to a 15x15 grid. -120 Searches with Solutions: This book contains many hours of fun with 120 puzzles to solve! Makes a perfect gift for any word search lovers or sports fans that are in your life!",152,"","","","en","http://books.google.com/books?id=HyU-zQEACAAJ&dq=search+terms&hl=&cd=177&source=gbs_api","http://books.google.com/books?id=HyU-zQEACAAJ&dq=search+terms&hl=&source=gbs_api","Baseball, Soccer, Football, Basketball and Hockey Puzzle Book",NA,0
"k54uzQEACAAJ","Pocket Word Search","Pocket Puzzles","","12/26/19","Pocket Word Search Books For AdultsPacked with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features a cute kawaii cover and provides hours of entertainment. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great Christmas word search gift. Who knows, you may even be the word search solver of the house this festive season! It also makes a perfect gift for seniors any time of the year. Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white Buy our hand-designed pocket word search puzzles today and have Amazon deliver it to your house or office in a heartbeat. And don't forget to visit our Author Page for even more of our pocket word search books, travel size word search books and puzzles for adults.",100,"","http://books.google.com/books/content?id=k54uzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=k54uzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=k54uzQEACAAJ&dq=search+terms&hl=&cd=178&source=gbs_api","http://books.google.com/books?id=k54uzQEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Search Puzzles - Pocket Word Jumble - Travel Size Wordsearches - Mini Word Puzzle - Word Seek - Fun Christmas Gift - Word Search Books for Adults - Japanese Kawaii Patterns",NA,0
"OJsvzQEACAAJ","Pocket Word Search","Mini Wordsearches","","12/28/19","Pocket Word Search Books For AdultsPacked with 99 individual large print pocket word search puzzles spread out over 99 pages, this easy-to-read yet small 5 x 8"" pocket word search features a Japanese sushi cover and provides hours of entertainment. 99 INDIVIDUAL WORD SEARCHES: Hours of fun and entertainment to enjoy! LARGE PRINT: Large print is easy-to-read and giant grids making it simple to circle and complete. EXERCISE YOUR BRAIN: Keep your brain active when you travel by finding hundreds of words. MAKES A GREAT GIFT: From the complete beginner to the celebrated expert, this pocket puzzle word finds large print book makes a great Christmas word search gift. Who knows, you may even be the word search solver of the house this festive season! It also makes a perfect gift for seniors any time of the year. Travel Size Word Search Books Features 99 challenging and addictive word searches spread out over 99 individual pages 5 x 8"" dimensions - small and easy to carry around in your handbag or backpack Luxuriously soft, durable, matte cover Cream paper, which is easier on the eyes than white Buy our hand-designed pocket word search puzzles today and have Amazon deliver it to your house or office in a heartbeat. And don't forget to visit our Author Page for even more of our pocket word search books, travel size word search books and puzzles for adults.",100,"","http://books.google.com/books/content?id=OJsvzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books/content?id=OJsvzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","en","http://books.google.com/books?id=OJsvzQEACAAJ&dq=search+terms&hl=&cd=179&source=gbs_api","http://books.google.com/books?id=OJsvzQEACAAJ&dq=search+terms&hl=&source=gbs_api","99 Pocket Word Search Puzzles - Pocket Word Jumble - Travel Size Wordsearches - Mini Word Puzzle - Word Seek - Fun Christmas Gift - Word Search Books for Adults - Sushi",NA,0
